iter	Logloss
0	0.6824313379
1	0.6729777606
2	0.6650835314
3	0.6577744941
4	0.6511921904
5	0.6449652055
6	0.6394069527
7	0.6347776086
8	0.6302500158
9	0.6260226748
10	0.6224708778
11	0.6187220246
12	0.6150062206
13	0.6117962174
14	0.6088155444
15	0.6055142077
16	0.6023146387
17	0.5997622754
18	0.5971894277
19	0.5949038389
20	0.5924051604
21	0.5899469005
22	0.587707093
23	0.5852753566
24	0.5830078737
25	0.5809460511
26	0.5789908032
27	0.5769007991
28	0.5748307437
29	0.5727836143
30	0.5709054074
31	0.5689523819
32	0.5671456918
33	0.5654163237
34	0.5635523603
35	0.5620494935
36	0.5604363279
37	0.5588264293
38	0.5574495278
39	0.555715246
40	0.554077423
41	0.5524620906
42	0.5508304137
43	0.549333515
44	0.5478141907
45	0.5464881837
46	0.5450887943
47	0.5439665324
48	0.5426669412
49	0.5413421266
50	0.5401667445
51	0.5389443724
52	0.5376324294
53	0.5362840941
54	0.535134103
55	0.5339520617
56	0.5327752577
57	0.5317092393
58	0.5307309422
59	0.5294551078
60	0.5283234386
61	0.5272570611
62	0.5260921596
63	0.5250421685
64	0.5239668658
65	0.5229395403
66	0.5220121057
67	0.5210237647
68	0.5200695372
69	0.519002876
70	0.5180767987
71	0.517100744
72	0.5161119663
73	0.515054449
74	0.514118339
75	0.5132639021
76	0.5123356319
77	0.5112745749
78	0.5103729343
79	0.5094840197
80	0.5086992868
81	0.5078482511
82	0.5071089472
83	0.5064657567
84	0.5055871709
85	0.504618392
86	0.5038380754
87	0.5028993702
88	0.502155167
89	0.5014269044
90	0.5005329528
91	0.4997513826
92	0.4989648642
93	0.4982389204
94	0.49710629
95	0.4964360428
96	0.4956287582
97	0.4946908795
98	0.493988384
99	0.4933533822
100	0.4926144954
101	0.4920158754
102	0.4913785608
103	0.4906462442
104	0.4899770324
105	0.4892698166
106	0.4885117002
107	0.4879119637
108	0.4872371082
109	0.4865690731
110	0.4859634628
111	0.485280429
112	0.4847182932
113	0.4840367445
114	0.4833521697
115	0.4826928881
116	0.4820118135
117	0.4813438896
118	0.4807572158
119	0.4802093879
120	0.4795190154
121	0.4789031654
122	0.4783164778
123	0.4776539878
124	0.4770410008
125	0.4763527771
126	0.4757711788
127	0.4751515766
128	0.4746507054
129	0.4740760239
130	0.4733371437
131	0.4727043985
132	0.4720041986
133	0.4714117703
134	0.4708582062
135	0.4701477185
136	0.4695168431
137	0.468940524
138	0.4683377106
139	0.4677006053
140	0.4671977275
141	0.4666019281
142	0.4659923998
143	0.4653429112
144	0.4648298541
145	0.4643710176
146	0.4638987131
147	0.4633396935
148	0.4627975883
149	0.4621541432
150	0.4615968513
151	0.4610375453
152	0.4604573729
153	0.459961375
154	0.4593171801
155	0.4587719648
156	0.4581583689
157	0.4576288291
158	0.4571288663
159	0.456432839
160	0.4558291888
161	0.4553466099
162	0.4546594326
163	0.4540584695
164	0.4533622952
165	0.4528136884
166	0.4521782654
167	0.4515368045
168	0.4508714828
169	0.450313069
170	0.4496561563
171	0.4490780261
172	0.4484140544
173	0.4478775053
174	0.4473922909
175	0.4466886803
176	0.4460850547
177	0.4455455479
178	0.444655754
179	0.4442102639
180	0.4436810325
181	0.4431546643
182	0.4424812785
183	0.4418959139
184	0.4413679581
185	0.4407670608
186	0.4401782218
187	0.4395615959
188	0.4389328266
189	0.4384055963
190	0.4379664832
191	0.4374955275
192	0.4367497703
193	0.4362026017
194	0.4357028293
195	0.4351011285
196	0.4345081755
197	0.4339101657
198	0.4334034555
199	0.4327985624
200	0.4322902836
201	0.4316467021
202	0.4311679349
203	0.4306542283
204	0.430052206
205	0.4295988418
206	0.4291169603
207	0.4286091018
208	0.4279749122
209	0.4274758623
210	0.4269590461
211	0.4264497121
212	0.4258414832
213	0.4251744628
214	0.4245645036
215	0.4240257399
216	0.4235558837
217	0.4230380225
218	0.4225518955
219	0.4220729966
220	0.4215514198
221	0.4210191613
222	0.4204671615
223	0.4199757525
224	0.4194182994
225	0.4189436496
226	0.4183397871
227	0.4178435012
228	0.4173684346
229	0.4167903135
230	0.4162370925
231	0.4156419524
232	0.4151599406
233	0.4146904382
234	0.4141459997
235	0.4136537625
236	0.4132194531
237	0.4125205187
238	0.4121469231
239	0.4115951913
240	0.411054623
241	0.4105877562
242	0.4102672564
243	0.4097635485
244	0.4092259247
245	0.4087006189
246	0.4081897355
247	0.4077443191
248	0.4072637694
249	0.4067812369
250	0.4062789075
251	0.4058001695
252	0.4054052972
253	0.4048662916
254	0.4044693539
255	0.4041128696
256	0.4036789684
257	0.4032557728
258	0.4028475607
259	0.4023962724
260	0.4018106254
261	0.401271588
262	0.400862116
263	0.4004856369
264	0.399977785
265	0.3995138958
266	0.3989824129
267	0.398382377
268	0.3978788487
269	0.3974357569
270	0.3970013165
271	0.3965470366
272	0.3960946386
273	0.3956429662
274	0.3953127486
275	0.3948899394
276	0.3943749738
277	0.3937437161
278	0.3932971972
279	0.3929724753
280	0.3925720866
281	0.3921026279
282	0.3917222949
283	0.3912162022
284	0.3908130054
285	0.3903612609
286	0.3896914901
287	0.3892076277
288	0.3888316139
289	0.388445749
290	0.3880624311
291	0.3875600323
292	0.387173128
293	0.386754709
294	0.3863784574
295	0.3859796134
296	0.3856072324
297	0.3852235157
298	0.3848934706
299	0.3844419971
300	0.38405125
301	0.3836208246
302	0.3832668448
303	0.3826722334
304	0.38224084
305	0.3818724262
306	0.3815609017
307	0.3811210943
308	0.3806352262
309	0.3801855711
310	0.3798094494
311	0.3792435069
312	0.3788667283
313	0.3784833057
314	0.3779836152
315	0.3776956722
316	0.3773218344
317	0.3769676578
318	0.3766197086
319	0.3762145304
320	0.375796239
321	0.3754245448
322	0.3750510495
323	0.3746752192
324	0.3743326769
325	0.3739529964
326	0.3735665356
327	0.3732179602
328	0.3728787601
329	0.3725435808
330	0.3722806668
331	0.3717808588
332	0.3715075295
333	0.3711554154
334	0.3707905385
335	0.3704286615
336	0.3701154788
337	0.369781284
338	0.3693301406
339	0.3689397363
340	0.3685631
341	0.368123507
342	0.3678704164
343	0.3674627088
344	0.3670755704
345	0.3666279805
346	0.3662714967
347	0.3658997729
348	0.3656507128
349	0.3652499464
350	0.364878894
351	0.3645316366
352	0.3641820088
353	0.3638814918
354	0.3635594279
355	0.3632049033
356	0.3628217385
357	0.3624854994
358	0.3621090804
359	0.3617884277
360	0.3614035092
361	0.361163185
362	0.3607861882
363	0.3605195984
364	0.3601808949
365	0.3598265439
366	0.3593030148
367	0.3589595767
368	0.3586207143
369	0.3582884734
370	0.357976503
371	0.3576058207
372	0.357337918
373	0.3570469712
374	0.3566423699
375	0.3563246193
376	0.3559806098
377	0.355625084
378	0.3553340488
379	0.3550594134
380	0.3547558368
381	0.3543887416
382	0.3541320167
383	0.3538904144
384	0.3535777204
385	0.3532251036
386	0.3528075679
387	0.3524799676
388	0.3520885513
389	0.3517305142
390	0.3513473594
391	0.3510236656
392	0.3507383828
393	0.350365109
394	0.3500907629
395	0.3498570397
396	0.3495487853
397	0.349202185
398	0.3487960202
399	0.3485212701
400	0.3481414683
401	0.3478578739
402	0.3475280031
403	0.3472059892
404	0.346906066
405	0.3466275064
406	0.3463144528
407	0.3460153065
408	0.3457166718
409	0.3454600534
410	0.3451236831
411	0.3448546657
412	0.3445172966
413	0.3441860125
414	0.3437469746
415	0.3434515499
416	0.3432134697
417	0.3429857067
418	0.3427183277
419	0.3423819529
420	0.3419570823
421	0.3416650036
422	0.341346331
423	0.3409932737
424	0.3407105666
425	0.3402179443
426	0.3399327199
427	0.3396403872
428	0.3393790839
429	0.3390974022
430	0.3388056425
431	0.3385577481
432	0.3382951556
433	0.3379408384
434	0.3376700838
435	0.3373575926
436	0.3370002278
437	0.3367177499
438	0.3363819054
439	0.3360666071
440	0.3358837141
441	0.335558409
442	0.3352733338
443	0.3350530103
444	0.3347080748
445	0.3342833804
446	0.3339430548
447	0.3336219439
448	0.3332821288
449	0.333067933
450	0.3327446395
451	0.3324352435
452	0.3319959851
453	0.33158902
454	0.3312695555
455	0.3309653883
456	0.3306534583
457	0.3303119638
458	0.3300049413
459	0.3296332493
460	0.3293519335
461	0.3291237202
462	0.3287704096
463	0.3284119437
464	0.3281220727
465	0.3279274934
466	0.327654269
467	0.3273440983
468	0.3270125894
469	0.3268141592
470	0.3265479083
471	0.3261405513
472	0.3258876361
473	0.3256073081
474	0.3253076439
475	0.3249558193
476	0.3246856452
477	0.3244217243
478	0.3241201839
479	0.3238284456
480	0.3236623199
481	0.3234166333
482	0.3230677305
483	0.3227762018
484	0.3225650852
485	0.3223233843
486	0.3220171921
487	0.3216571851
488	0.3213866481
489	0.3211122054
490	0.3208553191
491	0.3205600375
492	0.3202992746
493	0.3201521229
494	0.3198624477
495	0.3196029849
496	0.3194267746
497	0.3191821535
498	0.3189251339
499	0.3186621483
500	0.3183603335
501	0.3180980194
502	0.3177909891
503	0.3175305469
504	0.3172800137
505	0.3169733412
506	0.3167223198
507	0.3165535486
508	0.3162292322
509	0.3159858479
510	0.3156902476
511	0.3153906308
512	0.3151157497
513	0.3149475633
514	0.3147288033
515	0.314353247
516	0.3138921953
517	0.3136152128
518	0.3133869944
519	0.3131806747
520	0.3128918274
521	0.3126579842
522	0.31238004
523	0.3120922203
524	0.311840741
525	0.3114840498
526	0.3112819913
527	0.3109648461
528	0.3107126007
529	0.3104854562
530	0.3102441865
531	0.3100092015
532	0.3097866718
533	0.309599791
534	0.3093670577
535	0.3091230397
536	0.3089375391
537	0.3087917897
538	0.3084692749
539	0.3082123619
540	0.3078913625
541	0.3077206643
542	0.3074533654
543	0.3072055261
544	0.3069202199
545	0.3066219853
546	0.3063774414
547	0.3061345319
548	0.3059706577
549	0.3056648546
550	0.3053580948
551	0.3050987319
552	0.3047932201
553	0.3044463809
554	0.3042190813
555	0.3038838177
556	0.3036161159
557	0.3033888321
558	0.3031866037
559	0.3028078665
560	0.3025883478
561	0.3024426648
562	0.3022269856
563	0.3019105738
564	0.3016221422
565	0.3014174744
566	0.301184012
567	0.3009474697
568	0.3006899114
569	0.3003337347
570	0.300113338
571	0.2998396025
572	0.2995762334
573	0.2993206989
574	0.2991900407
575	0.2989235458
576	0.2986021188
577	0.2982957744
578	0.2979948048
579	0.297757302
580	0.2974732678
581	0.2972247123
582	0.2969608084
583	0.2966462281
584	0.2964390923
585	0.2961986659
586	0.2960601029
587	0.2958070361
588	0.2956241003
589	0.2954028616
590	0.2951696234
591	0.2949355566
592	0.2947093011
593	0.2944786354
594	0.2942337501
595	0.293952639
596	0.2937762181
597	0.2935171905
598	0.2933240356
599	0.2930972598
600	0.2928556376
601	0.29266853
602	0.2923943147
603	0.2921536487
604	0.2918762781
605	0.2917144102
606	0.2914936666
607	0.2912423777
608	0.2910057177
609	0.290854226
610	0.2906406043
611	0.2904294258
612	0.2901871303
613	0.2900231837
614	0.2897095321
615	0.2894621207
616	0.2891946852
617	0.2889661293
618	0.2886596299
619	0.2884971576
620	0.2882634917
621	0.2881237843
622	0.2878895062
623	0.287679154
624	0.2874741154
625	0.2872540581
626	0.2870279774
627	0.2868093981
628	0.2865700234
629	0.2864061549
630	0.2862612406
631	0.2860229913
632	0.2857968759
633	0.2856369694
634	0.285396579
635	0.2851845498
636	0.2849863647
637	0.2847619489
638	0.2845382766
639	0.2843166265
640	0.2841159399
641	0.283893192
642	0.2837375765
643	0.2835282167
644	0.2833155413
645	0.2830825775
646	0.2827700719
647	0.2824438675
648	0.2821789944
649	0.281992975
650	0.2817603386
651	0.28153342
652	0.2811841307
653	0.2810215647
654	0.2808246052
655	0.2805625832
656	0.2803347159
657	0.2800840132
658	0.2798237564
659	0.2796117559
660	0.2794453622
661	0.2792577311
662	0.2790834641
663	0.2789147835
664	0.2787357937
665	0.2784649642
666	0.278349688
667	0.2781239754
668	0.2778997295
669	0.2777127648
670	0.2775135203
671	0.277282615
672	0.277039693
673	0.2769072593
674	0.2766948619
675	0.2765343568
676	0.2763196923
677	0.2761022202
678	0.2759052486
679	0.2757091782
680	0.2755204512
681	0.2752906328
682	0.2751038748
683	0.2749174318
684	0.2746665547
685	0.2745599132
686	0.2744341566
687	0.2742164782
688	0.2740302209
689	0.2737958757
690	0.2734931103
691	0.2733023571
692	0.2731286267
693	0.2729787078
694	0.2727801106
695	0.2725610663
696	0.2723329074
697	0.272164619
698	0.2719498042
699	0.2717655219
700	0.2716553032
701	0.2714187173
702	0.2711902246
703	0.2709986215
704	0.2708635157
705	0.2706519749
706	0.2703838852
707	0.270128852
708	0.2698973966
709	0.2696526347
710	0.2695319529
711	0.2693469531
712	0.2691635105
713	0.2689720108
714	0.2687420902
715	0.2684948691
716	0.2682320851
717	0.2679066797
718	0.2676866052
719	0.2675311533
720	0.2673002527
721	0.2670778534
722	0.2669170143
723	0.2668083896
724	0.2666225156
725	0.2664407184
726	0.2662658518
727	0.2660903579
728	0.2658978718
729	0.2657106909
730	0.2654671306
731	0.2652103142
732	0.265005544
733	0.2647691277
734	0.2646339698
735	0.2644668579
736	0.26435686
737	0.2641772967
738	0.2639694934
739	0.2637793331
740	0.2636507812
741	0.2633682833
742	0.2631071926
743	0.2629251354
744	0.2626829934
745	0.2624578931
746	0.2623555259
747	0.2621798754
748	0.2619676047
749	0.2617441148
750	0.2615191104
751	0.2614055829
752	0.2612106003
753	0.2610167589
754	0.2608105501
755	0.2606207149
756	0.2604854443
757	0.2603832281
758	0.2601540422
759	0.2599750505
760	0.2597884081
761	0.2596723023
762	0.2594642402
763	0.2593333366
764	0.2591409587
765	0.2588967602
766	0.2587265219
767	0.2585354462
768	0.2584135101
769	0.2581896235
770	0.2580192423
771	0.2578193913
772	0.2575528674
773	0.2572901799
774	0.2571314861
775	0.2569543665
776	0.2568358114
777	0.2567296142
778	0.2565456517
779	0.2563004204
780	0.2560779873
781	0.2558007074
782	0.2556419706
783	0.2554410006
784	0.2552909154
785	0.2550729657
786	0.2549643464
787	0.2547793349
788	0.2546340544
789	0.2544451034
790	0.2542439841
791	0.2540357735
792	0.2538862548
793	0.2537224526
794	0.2535070285
795	0.2532873643
796	0.2531022214
797	0.252883504
798	0.2527075877
799	0.2525468592
800	0.2523762101
801	0.2521849803
802	0.2519421312
803	0.251642135
804	0.2514121277
805	0.2512761157
806	0.2510944429
807	0.2509896019
808	0.2508217436
809	0.2506460804
810	0.2504760781
811	0.2502775586
812	0.2501059731
813	0.2499887807
814	0.2497949839
815	0.2496716178
816	0.249507205
817	0.2494106191
818	0.2492040928
819	0.2490382595
820	0.2488969905
821	0.2486328805
822	0.2485296045
823	0.2483842146
824	0.2482464224
825	0.2480724193
826	0.2479167062
827	0.2477816593
828	0.2476408686
829	0.2474736047
830	0.2473380994
831	0.2471398075
832	0.2470118268
833	0.2468520599
834	0.2466650009
835	0.246536326
836	0.2463661146
837	0.2462065868
838	0.2460396195
839	0.2458538331
840	0.2457104858
841	0.2456155887
842	0.2454279642
843	0.2452935235
844	0.2450724253
845	0.2448875747
846	0.2446478097
847	0.2444628147
848	0.244295882
849	0.2442012476
850	0.2440145356
851	0.2438961304
852	0.2436188795
853	0.243470505
854	0.2432423166
855	0.243051385
856	0.2428906655
857	0.2427966098
858	0.2426071912
859	0.2424272162
860	0.242246277
861	0.2420691478
862	0.2418766917
863	0.24178391
864	0.2416097067
865	0.2414404874
866	0.2411620729
867	0.2409663429
868	0.240854021
869	0.2407046413
870	0.2405193652
871	0.2403494702
872	0.2401771432
873	0.2400864177
874	0.2399645635
875	0.2398173821
876	0.2396648247
877	0.2394849002
878	0.2393015527
879	0.2391237799
880	0.2389967028
881	0.2387969118
882	0.2387078743
883	0.2385234076
884	0.2383709645
885	0.2382072357
886	0.2380209928
887	0.2378229861
888	0.237617582
889	0.2375120381
890	0.2373142354
891	0.2371932003
892	0.2369488687
893	0.2368449208
894	0.2367281159
